Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
thang1,Chrome 126.0.0.0,,,02-07-2024 23:07:31,02-07-2024 23:09:59,2m - 27.964s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:07:35,02-07-2024 23:08:27,52.291s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:07:40,02-07-2024 23:08:00,19.930s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:08:00,02-07-2024 23:08:08,7.902s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:08:08,02-07-2024 23:08:14,6.161s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:08:14,02-07-2024 23:08:27,13.293s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:08:27,02-07-2024 23:09:01,34.199s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:08:27,02-07-2024 23:08:31,3.780s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:08:31,02-07-2024 23:08:38,7.090s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:08:38,02-07-2024 23:08:39,1.238s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:08:39,02-07-2024 23:09:01,21.974s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:09:01,02-07-2024 23:09:26,24.114s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:09:02,02-07-2024 23:09:05,3.178s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:09:05,02-07-2024 23:09:12,7.237s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:09:12,02-07-2024 23:09:14,2.320s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:09:14,02-07-2024 23:09:25,11.256s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:09:26,02-07-2024 23:09:39,13.192s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:09:26,02-07-2024 23:09:29,2.953s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:09:29,02-07-2024 23:09:34,5.682s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:09:34,02-07-2024 23:09:35,0.936s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:09:35,02-07-2024 23:09:39,3.529s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:09:39,02-07-2024 23:09:59,20.453s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:09:39,02-07-2024 23:09:42,3.560s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:09:42,02-07-2024 23:09:49,6.811s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:09:49,02-07-2024 23:09:53,4.057s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:09:53,02-07-2024 23:09:59,5.854s,PASSED
